frame_timestamp,game_id,killer_id,timestamp,type,ward_type
1260427,7286919833,7.0,1244677,WARD_KILL,CONTROL_WARD
1260427,7286919833,5.0,1253197,WARD_KILL,SIGHT_WARD
1260427,7286919833,10.0,1255001,WARD_KILL,CONTROL_WARD
1260427,7286919833,7.0,1258007,WARD_KILL,SIGHT_WARD
1320442,7286919833,2.0,1305092,WARD_KILL,BLUE_TRINKET
1320442,7286919833,7.0,1307463,WARD_KILL,BLUE_TRINKET
1320442,7286919833,2.0,1312187,WARD_KILL,SIGHT_WARD
1380470,7286919833,10.0,1324049,WARD_KILL,SIGHT_WARD
1380470,7286919833,2.0,1326087,WARD_KILL,BLUE_TRINKET
1380470,7286919833,5.0,1372303,WARD_KILL,CONTROL_WARD
1440475,7286919833,3.0,1393895,WARD_KILL,CONTROL_WARD
360134,7279007354,3.0,333800,WARD_KILL,CONTROL_WARD
360134,7279007354,10.0,339579,WARD_KILL,YELLOW_TRINKET
600158,7279007354,9.0,570513,WARD_KILL,CONTROL_WARD
780227,7279007354,1.0,749470,WARD_KILL,CONTROL_WARD
960266,7279007354,6.0,916119,WARD_KILL,YELLOW_TRINKET
1020287,7279007354,9.0,968572,WARD_KILL,SIGHT_WARD
1020287,7279007354,6.0,992490,WARD_KILL,CONTROL_WARD
1020287,7279007354,5.0,1017269,WARD_KILL,CONTROL_WARD
1020287,7279007354,1.0,1017402,WARD_KILL,CONTROL_WARD
1080299,7279007354,4.0,1026766,WARD_KILL,SIGHT_WARD
1080299,7279007354,10.0,1036274,WARD_KILL,SIGHT_WARD
1080299,7279007354,4.0,1073615,WARD_KILL,UNDEFINED
1140306,7279007354,7.0,1083271,WARD_KILL,CONTROL_WARD
1200331,7279007354,3.0,1177642,WARD_KILL,CONTROL_WARD
1260352,7279007354,10.0,1201734,WARD_KILL,SIGHT_WARD
1260352,7279007354,10.0,1209366,WARD_KILL,SIGHT_WARD
1260352,7279007354,6.0,1212789,WARD_KILL,YELLOW_TRINKET
1260352,7279007354,4.0,1219904,WARD_KILL,UNDEFINED
1260352,7279007354,4.0,1221544,WARD_KILL,UNDEFINED
1260352,7279007354,1.0,1242194,WARD_KILL,BLUE_TRINKET
1260352,7279007354,6.0,1259373,WARD_KILL,CONTROL_WARD
1320359,7279007354,4.0,1280385,WARD_KILL,UNDEFINED
1380384,7279007354,7.0,1371827,WARD_KILL,SIGHT_WARD
1380384,7279007354,6.0,1375501,WARD_KILL,BLUE_TRINKET
1440398,7279007354,7.0,1388805,WARD_KILL,CONTROL_WARD
1440398,7279007354,4.0,1409841,WARD_KILL,BLUE_TRINKET
1440398,7279007354,10.0,1411477,WARD_KILL,CONTROL_WARD
1560415,7279007354,7.0,1522671,WARD_KILL,SIGHT_WARD
1560415,7279007354,2.0,1523072,WARD_KILL,SIGHT_WARD
1560415,7279007354,6.0,1538368,WARD_KILL,CONTROL_WARD
1620428,7279007354,1.0,1566193,WARD_KILL,CONTROL_WARD
1680446,7279007354,5.0,1651245,WARD_KILL,YELLOW_TRINKET
1680446,7279007354,2.0,1656845,WARD_KILL,CONTROL_WARD
1680446,7279007354,8.0,1665943,WARD_KILL,CONTROL_WARD
1740459,7279007354,3.0,1681782,WARD_KILL,YELLOW_TRINKET
1800464,7279007354,3.0,1752262,WARD_KILL,BLUE_TRINKET
1800464,7279007354,9.0,1775763,WARD_KILL,CONTROL_WARD
1800464,7279007354,9.0,1781085,WARD_KILL,BLUE_TRINKET
1860471,7279007354,6.0,1807524,WARD_KILL,BLUE_TRINKET
1860471,7279007354,6.0,1810396,WARD_KILL,CONTROL_WARD
1860471,7279007354,2.0,1851500,WARD_KILL,BLUE_TRINKET
1920496,7279007354,8.0,1892586,WARD_KILL,CONTROL_WARD
1920496,7279007354,7.0,1906285,WARD_KILL,BLUE_TRINKET
1920496,7279007354,10.0,1919193,WARD_KILL,BLUE_TRINKET
1980527,7279007354,4.0,1946458,WARD_KILL,SIGHT_WARD
1980527,7279007354,10.0,1965282,WARD_KILL,CONTROL_WARD
480193,7278919282,10.0,479057,WARD_KILL,CONTROL_WARD
600206,7278919282,4.0,594327,WARD_KILL,YELLOW_TRINKET
660233,7278919282,2.0,654378,WARD_KILL,SIGHT_WARD
720237,7278919282,3.0,677440,WARD_KILL,CONTROL_WARD
900317,7278919282,7.0,843970,WARD_KILL,YELLOW_TRINKET
900317,7278919282,3.0,856772,WARD_KILL,CONTROL_WARD
900317,7278919282,7.0,876860,WARD_KILL,CONTROL_WARD
960319,7278919282,1.0,949653,WARD_KILL,SIGHT_WARD
1020338,7278919282,5.0,960805,WARD_KILL,CONTROL_WARD
1020338,7278919282,10.0,964146,WARD_KILL,UNDEFINED
1020338,7278919282,5.0,988697,WARD_KILL,YELLOW_TRINKET
1020338,7278919282,9.0,992439,WARD_KILL,CONTROL_WARD
1140362,7278919282,1.0,1099800,WARD_KILL,SIGHT_WARD
1440457,7278919282,2.0,1404852,WARD_KILL,SIGHT_WARD
1500457,7278919282,6.0,1485155,WARD_KILL,CONTROL_WARD
1560484,7278919282,10.0,1503095,WARD_KILL,BLUE_TRINKET
1560484,7278919282,2.0,1522491,WARD_KILL,SIGHT_WARD
300128,7278793285,9.0,243715,WARD_KILL,CONTROL_WARD
360154,7278793285,4.0,332158,WARD_KILL,CONTROL_WARD
420157,7278793285,1.0,389055,WARD_KILL,YELLOW_TRINKET
480164,7278793285,9.0,442207,WARD_KILL,YELLOW_TRINKET
540187,7278793285,10.0,523644,WARD_KILL,TEEMO_MUSHROOM
780266,7278793285,9.0,736060,WARD_KILL,TEEMO_MUSHROOM
840286,7278793285,7.0,780499,WARD_KILL,TEEMO_MUSHROOM
840286,7278793285,5.0,780733,WARD_KILL,YELLOW_TRINKET
840286,7278793285,7.0,782470,WARD_KILL,TEEMO_MUSHROOM
840286,7278793285,6.0,834307,WARD_KILL,CONTROL_WARD
960303,7278793285,1.0,937760,WARD_KILL,CONTROL_WARD
1020310,7278793285,6.0,961005,WARD_KILL,CONTROL_WARD
1020310,7278793285,10.0,961506,WARD_KILL,SIGHT_WARD
1020310,7278793285,1.0,1018732,WARD_KILL,CONTROL_WARD
1080313,7278793285,1.0,1040222,WARD_KILL,YELLOW_TRINKET
1080313,7278793285,10.0,1047985,WARD_KILL,CONTROL_WARD
1140329,7278793285,5.0,1122134,WARD_KILL,YELLOW_TRINKET
1140329,7278793285,5.0,1126409,WARD_KILL,CONTROL_WARD
1140329,7278793285,1.0,1130401,WARD_KILL,YELLOW_TRINKET
1200350,7278793285,2.0,1168611,WARD_KILL,CONTROL_WARD
1320362,7278793285,2.0,1261956,WARD_KILL,CONTROL_WARD
1320362,7278793285,5.0,1304905,WARD_KILL,YELLOW_TRINKET
1320362,7278793285,7.0,1315685,WARD_KILL,SIGHT_WARD
1320362,7278793285,10.0,1318991,WARD_KILL,TEEMO_MUSHROOM
1380371,7278793285,10.0,1350246,WARD_KILL,YELLOW_TRINKET
1380371,7278793285,1.0,1373513,WARD_KILL,SIGHT_WARD
1380371,7278793285,4.0,1374983,WARD_KILL,CONTROL_WARD
1380371,7278793285,9.0,1377655,WARD_KILL,TEEMO_MUSHROOM
1440399,7278793285,7.0,1399017,WARD_KILL,SIGHT_WARD
1440399,7278793285,7.0,1405972,WARD_KILL,CONTROL_WARD
1440399,7278793285,9.0,1418065,WARD_KILL,TEEMO_MUSHROOM
1440399,7278793285,10.0,1420718,WARD_KILL,TEEMO_MUSHROOM
1440399,7278793285,6.0,1427397,WARD_KILL,CONTROL_WARD
1500414,7278793285,2.0,1449906,WARD_KILL,BLUE_TRINKET
1500414,7278793285,9.0,1454149,WARD_KILL,TEEMO_MUSHROOM
1500414,7278793285,3.0,1468370,WARD_KILL,CONTROL_WARD
1500414,7278793285,7.0,1476427,WARD_KILL,SIGHT_WARD
1500414,7278793285,10.0,1495952,WARD_KILL,SIGHT_WARD
1620461,7278793285,5.0,1588049,WARD_KILL,CONTROL_WARD
1680489,7278793285,1.0,1633798,WARD_KILL,CONTROL_WARD
1680489,7278793285,9.0,1652878,WARD_KILL,TEEMO_MUSHROOM
1680489,7278793285,7.0,1656590,WARD_KILL,SIGHT_WARD
1800513,7278793285,7.0,1757806,WARD_KILL,TEEMO_MUSHROOM
1800513,7278793285,7.0,1759756,WARD_KILL,TEEMO_MUSHROOM
1800513,7278793285,7.0,1762829,WARD_KILL,SIGHT_WARD
1860530,7278793285,10.0,1814019,WARD_KILL,CONTROL_WARD
1860530,7278793285,10.0,1844603,WARD_KILL,SIGHT_WARD
1860530,7278793285,4.0,1854673,WARD_KILL,CONTROL_WARD
2040564,7278793285,9.0,2011873,WARD_KILL,TEEMO_MUSHROOM
2160580,7278793285,9.0,2116940,WARD_KILL,SIGHT_WARD
2160580,7278793285,9.0,2118712,WARD_KILL,TEEMO_MUSHROOM
2220611,7278793285,1.0,2162485,WARD_KILL,CONTROL_WARD
2280637,7278793285,9.0,2235624,WARD_KILL,TEEMO_MUSHROOM
2280637,7278793285,8.0,2240233,WARD_KILL,YELLOW_TRINKET
2280637,7278793285,8.0,2267234,WARD_KILL,TEEMO_MUSHROOM
2280637,7278793285,9.0,2273471,WARD_KILL,TEEMO_MUSHROOM
2280637,7278793285,10.0,2279435,WARD_KILL,TEEMO_MUSHROOM
2340653,7278793285,7.0,2294473,WARD_KILL,BLUE_TRINKET
2340653,7278793285,1.0,2308549,WARD_KILL,SIGHT_WARD
2400683,7278793285,1.0,2380436,WARD_KILL,SIGHT_WARD
2460692,7278793285,6.0,2441656,WARD_KILL,CONTROL_WARD
420153,7278666530,5.0,380111,WARD_KILL,CONTROL_WARD
480163,7278666530,7.0,420253,WARD_KILL,CONTROL_WARD
480163,7278666530,8.0,469394,WARD_KILL,CONTROL_WARD
540195,7278666530,2.0,492345,WARD_KILL,YELLOW_TRINKET
540195,7278666530,4.0,506455,WARD_KILL,YELLOW_TRINKET
540195,7278666530,4.0,507357,WARD_KILL,YELLOW_TRINKET
660242,7278666530,5.0,619040,WARD_KILL,YELLOW_TRINKET
720265,7278666530,3.0,666689,WARD_KILL,YELLOW_TRINKET
780272,7278666530,10.0,748158,WARD_KILL,CONTROL_WARD
780272,7278666530,3.0,759621,WARD_KILL,SIGHT_WARD
780272,7278666530,3.0,763301,WARD_KILL,CONTROL_WARD
840285,7278666530,9.0,827571,WARD_KILL,CONTROL_WARD
900296,7278666530,2.0,844022,WARD_KILL,CONTROL_WARD
900296,7278666530,4.0,849467,WARD_KILL,YELLOW_TRINKET
900296,7278666530,10.0,859361,WARD_KILL,CONTROL_WARD
960321,7278666530,5.0,901799,WARD_KILL,YELLOW_TRINKET
1020343,7278666530,5.0,987714,WARD_KILL,CONTROL_WARD
1080356,7278666530,10.0,1036760,WARD_KILL,SIGHT_WARD
