game_id,participant_id,frame_timestamp,current_gold,gold_per_second,jungle_minions_killed,level,minions_killed,time_enemy_spent_controlled,total_gold,xp,position_x,position_y,abilityhaste,abilitypower,armor,armorpen,armorpenpercent,attackdamage,attackspeed,bonusarmorpenpercent,bonusmagicpenpercent,ccreduction,cooldownreduction,health,healthmax,healthregen,lifesteal,magicpen,magicpenpercent,magicresist,movementspeed,omnivamp,physicalvamp,power,powermax,powerregen,spellvamp,magicDamageDone,magicDamageDoneToChampions,magicDamageTaken,physicalDamageDone,physicalDamageDoneToChampions,physicalDamageTaken,totalDamageDone,totalDamageDoneToChampions,totalDamageTaken,trueDamageDone,trueDamageDoneToChampions,trueDamageTaken
7494844141,4,120033,55,0,0,1,1,0,555,205,12278,2249,0,0,30,0,0,75,113,0,0,0,0,417,690,86,3,0,0,30,335,0,0,277,340,12,0,0,0,103,975,749,314,975,749,418,0,0,0
7494844141,5,120033,72,30,0,1,0,2805,572,19,12630,2119,0,18,28,0,0,47,100,0,0,0,0,487,610,13,0,0,0,30,328,0,0,203,435,28,0,417,318,0,187,140,255,605,458,255,0,0,0
7494844141,6,120033,47,30,0,1,0,1469,547,61,13438,2568,0,0,37,0,0,62,100,0,0,0,0,316,650,98,0,0,0,32,325,0,0,126,267,21,0,101,101,62,136,136,417,238,238,479,0,0,0
7494844141,7,120033,131,0,4,2,0,0,631,325,12514,5742,0,0,39,0,0,77,115,0,0,0,0,321,742,16,0,0,0,33,345,0,0,200,200,170,0,0,0,221,1219,94,661,2111,94,883,891,0,0
7494844141,8,120033,132,0,0,1,5,0,632,276,7284,7443,0,36,24,0,0,59,100,0,0,0,0,599,787,26,0,0,0,32,340,0,0,310,460,19,0,1483,381,91,89,0,154,1572,381,265,0,0,20
7494844141,9,120033,109,0,0,1,3,0,609,185,2516,12979,0,0,36,0,0,64,110,0,0,0,0,711,755,34,0,0,0,30,330,0,0,305,320,14,0,0,0,127,552,0,16,552,0,144,0,0,0
7494844141,10,120033,41,0,0,1,0,0,541,0,13369,2983,0,0,26,0,0,74,134,0,0,0,0,152,720,7,3,0,0,30,325,0,0,125,260,13,0,0,0,447,1209,895,311,1209,895,778,0,0,20
7494844141,1,180132,508,0,12,3,0,37784,958,683,7091,11107,0,0,43,0,0,73,156,0,0,0,0,490,823,26,0,0,0,35,340,0,0,206,381,70,0,1491,305,101,4370,0,1417,9466,305,1518,3604,0,0
7494844141,2,180132,381,0,0,3,13,0,881,818,7147,7211,0,36,28,0,0,58,103,0,0,0,0,460,881,16,0,0,0,31,340,0,0,436,436,18,0,732,334,382,1698,339,324,2471,714,706,40,40,0
7494844141,3,180132,416,0,0,3,14,1603,916,829,5091,11576,0,9,43,0,0,66,111,0,0,0,0,779,938,20,0,0,5,35,335,0,0,0,281,0,0,1737,323,22,1793,95,321,3531,418,343,0,0,0
7494844141,4,180132,429,0,0,2,12,0,929,605,13492,3451,0,0,33,0,0,79,114,0,0,0,0,600,774,7,3,0,0,30,355,0,0,63,372,13,0,0,0,103,4794,1541,403,4794,1541,507,0,0,0
7494844141,5,180132,335,30,0,2,0,18738,835,420,13585,3884,0,18,31,0,0,48,102,0,0,0,0,275,684,56,0,0,0,30,347,0,0,93,521,29,0,1776,524,0,312,265,760,2088,789,778,0,0,18
7494844141,6,180132,215,30,0,2,0,2638,715,472,13423,4058,0,0,75,0,0,64,100,0,0,0,0,96,751,20,0,0,0,68,325,0,0,61,295,22,0,206,101,151,235,235,992,459,354,1144,18,18,0
7494844141,7,180132,334,0,8,2,0,0,834,540,12534,4455,0,0,39,0,0,77,115,0,0,0,0,295,742,16,0,0,0,33,345,0,0,200,200,170,0,0,0,559,3137,458,923,4534,458,1482,1396,0,0
7494844141,8,180132,367,0,0,3,11,0,867,798,7943,7687,0,36,30,0,0,64,142,0,0,0,0,770,978,18,0,0,0,35,340,0,0,286,544,21,0,2833,485,166,227,0,240,3060,485,426,0,0,20
7494844141,9,180132,449,0,0,3,16,6012,949,829,3562,13561,0,0,43,0,0,69,113,0,0,0,0,772,988,29,0,0,0,33,330,0,0,255,408,16,0,22,22,384,2649,167,185,2671,189,570,0,0,0
7494844141,10,180132,234,0,0,2,4,2070,734,380,13998,4398,0,0,29,0,0,76,111,0,0,0,0,74,805,8,3,0,0,30,325,0,0,149,296,14,0,0,0,563,2397,984,428,2397,984,1011,0,0,20
7494844141,1,240140,873,0,24,3,0,100065,1323,1108,3285,7899,0,0,43,0,0,73,158,0,0,0,0,819,823,26,0,0,0,35,340,0,0,235,381,62,0,2119,305,101,7828,0,2018,17170,305,2120,7223,0,0
7494844141,2,240140,67,0,0,4,21,3206,1192,1466,6532,7058,0,56,32,0,0,59,105,0,0,0,0,0,979,17,0,0,0,32,340,0,0,161,456,19,0,1935,1051,1001,2689,430,548,4753,1609,1549,128,128,0
7494844141,3,240140,706,0,0,4,20,1836,1206,1294,1108,11375,0,9,46,0,0,70,112,0,0,0,0,596,1030,21,0,0,5,36,335,0,0,11,309,0,0,2355,408,48,2527,95,753,4883,504,801,0,0,0
7494844141,4,240140,81,0,0,3,18,0,1806,1052,10833,1776,0,0,36,0,0,117,118,0,0,0,0,841,863,8,3,0,0,31,335,0,0,406,406,104,0,0,0,131,7096,1976,923,7096,1976,1054,0,0,0
7494844141,5,240140,127,30,0,2,1,23047,1002,558,12929,2016,0,18,31,0,0,48,102,0,0,0,0,684,684,14,0,0,0,30,376,0,0,487,546,29,0,1932,665,0,360,265,1028,2293,930,1064,0,0,36
7494844141,6,240140,293,30,0,2,0,5614,1318,571,9390,5724,0,0,40,0,0,64,100,0,0,0,0,511,754,20,0,0,0,33,350,0,0,196,295,22,0,313,208,388,429,429,1119,778,673,1539,36,36,30
7494844141,7,240140,287,0,8,2,0,0,1137,622,6053,9358,0,0,39,0,0,87,118,0,0,0,0,742,742,16,0,0,0,33,345,0,0,200,200,100,0,0,0,559,3526,847,1328,4923,847,1888,1396,0,0
7494844141,8,240140,922,0,0,4,16,3780,1422,1328,8519,8576,0,36,34,0,0,66,143,0,0,0,0,312,1081,19,0,0,0,36,340,0,0,107,625,22,0,4338,1026,646,455,0,570,4793,1026,1294,0,0,77
7494844141,9,240140,725,0,0,4,25,9018,1225,1477,1882,11406,0,0,47,0,0,71,115,0,0,0,0,953,1115,31,0,0,0,34,330,0,0,220,455,18,0,48,48,469,4059,447,276,4107,495,746,0,0,0
7494844141,10,240140,192,0,0,3,8,2070,992,682,13095,3733,0,0,32,0,0,82,127,0,0,0,0,722,894,8,3,0,0,31,350,0,0,302,333,16,0,0,0,704,3131,1042,428,3131,1042,1152,0,0,20
7494844141,1,300153,1329,0,36,5,4,151789,1784,1759,7192,6063,0,0,52,0,0,78,143,0,0,0,0,1008,1011,40,0,0,0,38,340,0,0,420,469,128,0,2907,305,474,12055,0,2538,24875,305,3012,9913,0,0
7494844141,2,300153,232,0,0,4,24,11199,1357,1598,7033,7569,0,56,32,0,0,59,105,0,0,0,0,979,979,17,0,0,0,32,340,0,0,403,456,19,0,2519,1051,1001,2754,430,548,5402,1609,1549,128,128,0
7494844141,3,300153,1018,0,0,5,32,3707,1518,1978,1587,11408,0,36,49,0,0,73,113,0,0,0,0,0,1126,22,0,0,5,38,335,0,0,1,337,0,0,5435,1165,206,3304,337,1720,8740,1502,1926,0,0,0
7494844141,4,300153,563,0,0,4,33,0,2288,1575,13605,3669,0,0,40,0,0,120,122,0,0,0,0,787,955,8,3,0,0,32,335,0,0,429,441,109,0,0,0,131,13918,2834,1146,13918,2834,1278,0,0,0
7494844141,5,300153,425,30,0,3,2,32567,1300,1080,13232,3573,0,18,34,0,0,62,104,0,0,0,0,762,762,15,0,0,0,31,376,0,0,285,633,30,0,2620,984,0,411,265,1038,3089,1249,1074,56,0,36
7494844141,6,300153,449,30,0,3,1,5614,1474,873,13934,4800,0,0,43,0,0,67,101,0,0,0,0,193,859,104,0,0,0,35,350,0,0,267,326,24,0,313,208,547,496,429,1626,1158,673,2203,348,36,30
7494844141,7,300153,849,0,12,3,1,2070,1704,1015,1814,11520,0,0,43,0,0,94,161,0,0,0,0,798,834,17,10,0,0,35,345,0,0,105,200,100,10,1122,97,612,4654,913,1663,8458,1011,2276,2681,0,0
7494844141,8,300153,421,0,0,5,30,11875,1821,2128,7584,8323,0,36,38,0,0,69,144,0,0,0,0,1341,1341,20,0,0,0,38,340,0,0,653,658,23,0,7334,1026,646,856,0,588,8190,1026,1312,0,0,77
7494844141,9,300153,1089,0,0,5,30,18879,1589,1945,1538,11727,0,0,52,0,0,74,117,0,0,0,0,454,1277,197,0,0,0,36,330,0,0,71,505,20,0,108,108,1172,6313,1165,774,6421,1273,1947,0,0,0
7494844141,10,300153,392,0,0,3,12,2070,1192,1046,13384,4651,0,0,32,0,0,79,142,0,0,0,0,285,894,8,3,0,0,31,350,0,0,294,333,16,0,0,0,865,4118,1042,779,4118,1042,1664,0,0,20
7494844141,1,360185,347,0,44,5,4,194875,2377,2091,544,735,0,0,52,0,0,123,145,0,0,0,0,1011,1011,20,0,0,0,38,527,0,0,446,469,15,0,2977,305,474,14892,62,3969,31158,368,4444,13288,0,0
7494844141,2,360185,508,0,0,5,33,11199,1633,2151,5617,6302,0,56,36,0,0,61,107,0,0,0,0,361,1080,18,0,0,0,34,340,0,0,92,477,20,0,4193,1552,1743,3703,517,805,8124,2297,2548,227,227,0
7494844141,3,360185,132,0,0,5,34,12393,1682,2224,1100,11339,0,9,49,0,0,73,113,0,0,0,0,1333,1476,22,0,0,5,38,335,0,0,74,442,0,0,6371,1214,206,3509,385,1937,9880,1599,2143,0,0,0
7494844141,4,360185,90,0,0,5,39,0,2815,1800,9813,1469,0,0,43,0,0,133,125,0,0,0,0,1051,1051,9,3,0,0,34,414,0,0,479,479,16,0,0,0,242,16851,3325,1992,16851,3325,2235,0,0,0
7494844141,5,360185,85,30,0,4,2,38712,1610,1552,492,494,0,18,38,0,0,52,106,0,0,0,0,961,993,16,0,0,0,32,570,0,0,697,698,31,0,3156,1218,0,458,312,1730,3672,1530,1766,56,0,36
7494844141,6,360185,130,30,0,3,1,9622,1830,1067,6528,8679,0,0,43,0,0,67,101,0,0,0,0,862,862,21,0,0,0,35,360,0,0,326,326,24,0,424,319,547,636,569,2004,1409,925,2582,348,36,30
7494844141,7,360185,991,0,12,3,1,26270,1846,1044,13395,3224,0,0,43,0,0,89,121,0,0,0,0,666,834,17,0,0,0,35,345,0,0,140,200,100,0,1478,194,612,4839,1034,1950,9276,1228,2563,2957,0,0
7494844141,8,360185,725,0,0,6,40,15148,2125,2671,7545,7149,0,36,42,0,0,72,145,0,0,0,0,915,1455,22,0,0,0,40,340,0,0,326,743,24,0,11229,1670,1147,949,0,703,12178,1670,2026,0,0,176
7494844141,9,360185,363,0,0,6,41,35145,1938,2581,1920,11592,0,0,56,0,0,77,119,0,0,0,0,1330,1412,34,0,0,0,83,330,0,0,448,557,21,0,108,108,1221,8798,1313,970,8907,1422,2192,0,0,0
7494844141,10,360185,44,0,0,4,15,4141,2194,1597,14056,10745,0,0,36,0,0,126,113,0,0,0,0,987,987,9,4,0,0,32,508,0,0,373,373,17,0,70,0,1099,4872,1480,1000,4942,1480,2120,0,0,20
7494844141,1,420215,244,0,50,6,4,194875,2624,2402,3417,10419,0,0,56,0,0,136,150,0,0,0,0,1110,1110,21,0,0,0,40,340,0,0,316,517,74,0,3333,305,474,19637,62,4863,41182,368,5337,18211,0,0
7494844141,2,420215,555,0,0,6,42,11199,1980,2675,6383,9137,0,56,40,0,0,63,109,0,0,0,0,1186,1186,19,0,0,0,35,340,0,0,644,798,22,0,5770,1552,1743,4245,517,809,10243,2297,2552,227,227,0
7494844141,3,420215,382,0,0,6,40,12927,1932,2748,1103,11536,0,9,53,0,0,76,113,0,0,0,0,0,1575,23,0,0,5,40,335,0,0,78,472,0,0,7975,1352,277,3965,439,3590,11941,1792,3974,0,0,106
