frame_timestamp,game_id,level_up_type,participant_id,skill_slot,timestamp,type
60013,7494844141,NORMAL,2.0,2.0,11675,SKILL_LEVEL_UP
60013,7494844141,NORMAL,6.0,1.0,14915,SKILL_LEVEL_UP
60013,7494844141,NORMAL,10.0,1.0,23766,SKILL_LEVEL_UP
60013,7494844141,NORMAL,1.0,3.0,27107,SKILL_LEVEL_UP
60013,7494844141,NORMAL,7.0,1.0,41905,SKILL_LEVEL_UP
60013,7494844141,NORMAL,5.0,1.0,44777,SKILL_LEVEL_UP
60013,7494844141,NORMAL,4.0,2.0,44911,SKILL_LEVEL_UP
120033,7494844141,NORMAL,9.0,1.0,70394,SKILL_LEVEL_UP
120033,7494844141,NORMAL,8.0,1.0,84824,SKILL_LEVEL_UP
120033,7494844141,NORMAL,3.0,1.0,90201,SKILL_LEVEL_UP
120033,7494844141,NORMAL,7.0,2.0,105736,SKILL_LEVEL_UP
120033,7494844141,NORMAL,1.0,1.0,114622,SKILL_LEVEL_UP
180132,7494844141,NORMAL,8.0,3.0,124642,SKILL_LEVEL_UP
180132,7494844141,NORMAL,3.0,3.0,127848,SKILL_LEVEL_UP
180132,7494844141,NORMAL,4.0,1.0,128717,SKILL_LEVEL_UP
180132,7494844141,NORMAL,2.0,1.0,130153,SKILL_LEVEL_UP
180132,7494844141,NORMAL,9.0,3.0,145152,SKILL_LEVEL_UP
180132,7494844141,NORMAL,6.0,3.0,155206,SKILL_LEVEL_UP
180132,7494844141,NORMAL,1.0,2.0,159489,SKILL_LEVEL_UP
180132,7494844141,NORMAL,2.0,3.0,159923,SKILL_LEVEL_UP
180132,7494844141,NORMAL,5.0,2.0,163798,SKILL_LEVEL_UP
180132,7494844141,NORMAL,3.0,2.0,164733,SKILL_LEVEL_UP
180132,7494844141,NORMAL,8.0,2.0,164934,SKILL_LEVEL_UP
180132,7494844141,NORMAL,10.0,2.0,170612,SKILL_LEVEL_UP
180132,7494844141,NORMAL,9.0,2.0,176223,SKILL_LEVEL_UP
240140,7494844141,NORMAL,4.0,3.0,190862,SKILL_LEVEL_UP
240140,7494844141,NORMAL,2.0,2.0,201054,SKILL_LEVEL_UP
240140,7494844141,NORMAL,9.0,1.0,208469,SKILL_LEVEL_UP
240140,7494844141,NORMAL,8.0,1.0,211645,SKILL_LEVEL_UP
240140,7494844141,NORMAL,10.0,3.0,239238,SKILL_LEVEL_UP
300153,7494844141,NORMAL,1.0,1.0,246489,SKILL_LEVEL_UP
300153,7494844141,NORMAL,3.0,1.0,248059,SKILL_LEVEL_UP
300153,7494844141,NORMAL,4.0,1.0,254383,SKILL_LEVEL_UP
300153,7494844141,NORMAL,5.0,3.0,256154,SKILL_LEVEL_UP
300153,7494844141,NORMAL,7.0,3.0,265406,SKILL_LEVEL_UP
300153,7494844141,NORMAL,8.0,1.0,265573,SKILL_LEVEL_UP
300153,7494844141,NORMAL,9.0,1.0,265773,SKILL_LEVEL_UP
300153,7494844141,NORMAL,3.0,1.0,273526,SKILL_LEVEL_UP
300153,7494844141,NORMAL,6.0,2.0,274428,SKILL_LEVEL_UP
300153,7494844141,NORMAL,1.0,1.0,291634,SKILL_LEVEL_UP
360185,7494844141,NORMAL,2.0,2.0,309538,SKILL_LEVEL_UP
360185,7494844141,NORMAL,4.0,1.0,309839,SKILL_LEVEL_UP
360185,7494844141,NORMAL,5.0,2.0,310674,SKILL_LEVEL_UP
360185,7494844141,NORMAL,10.0,1.0,317220,SKILL_LEVEL_UP
360185,7494844141,NORMAL,8.0,4.0,333659,SKILL_LEVEL_UP
360185,7494844141,NORMAL,9.0,4.0,348291,SKILL_LEVEL_UP
420215,7494844141,NORMAL,3.0,4.0,375383,SKILL_LEVEL_UP
420215,7494844141,NORMAL,7.0,1.0,386410,SKILL_LEVEL_UP
420215,7494844141,NORMAL,10.0,1.0,387279,SKILL_LEVEL_UP
420215,7494844141,NORMAL,2.0,4.0,397566,SKILL_LEVEL_UP
420215,7494844141,NORMAL,5.0,3.0,399804,SKILL_LEVEL_UP
420215,7494844141,NORMAL,6.0,1.0,409247,SKILL_LEVEL_UP
420215,7494844141,NORMAL,9.0,1.0,410249,SKILL_LEVEL_UP
420215,7494844141,NORMAL,8.0,1.0,413169,SKILL_LEVEL_UP
420215,7494844141,NORMAL,1.0,4.0,416308,SKILL_LEVEL_UP
480247,7494844141,NORMAL,7.0,1.0,424925,SKILL_LEVEL_UP
480247,7494844141,NORMAL,10.0,4.0,433346,SKILL_LEVEL_UP
480247,7494844141,NORMAL,4.0,4.0,435851,SKILL_LEVEL_UP
480247,7494844141,NORMAL,3.0,1.0,472028,SKILL_LEVEL_UP
480247,7494844141,NORMAL,2.0,2.0,472696,SKILL_LEVEL_UP
540255,7494844141,NORMAL,8.0,2.0,488080,SKILL_LEVEL_UP
540255,7494844141,NORMAL,1.0,1.0,498706,SKILL_LEVEL_UP
540255,7494844141,NORMAL,6.0,1.0,510476,SKILL_LEVEL_UP
540255,7494844141,NORMAL,9.0,2.0,524013,SKILL_LEVEL_UP
540255,7494844141,NORMAL,4.0,1.0,539086,SKILL_LEVEL_UP
600270,7494844141,NORMAL,7.0,4.0,551181,SKILL_LEVEL_UP
600270,7494844141,NORMAL,10.0,1.0,565689,SKILL_LEVEL_UP
600270,7494844141,NORMAL,5.0,4.0,575883,SKILL_LEVEL_UP
600270,7494844141,NORMAL,3.0,3.0,576684,SKILL_LEVEL_UP
600270,7494844141,NORMAL,2.0,1.0,588946,SKILL_LEVEL_UP
660285,7494844141,NORMAL,1.0,3.0,603677,SKILL_LEVEL_UP
660285,7494844141,NORMAL,8.0,1.0,612571,SKILL_LEVEL_UP
660285,7494844141,NORMAL,7.0,1.0,614007,SKILL_LEVEL_UP
660285,7494844141,NORMAL,9.0,1.0,616879,SKILL_LEVEL_UP
660285,7494844141,NORMAL,6.0,4.0,628347,SKILL_LEVEL_UP
660285,7494844141,NORMAL,10.0,2.0,647591,SKILL_LEVEL_UP
720305,7494844141,NORMAL,3.0,1.0,666063,SKILL_LEVEL_UP
720305,7494844141,NORMAL,4.0,2.0,666631,SKILL_LEVEL_UP
720305,7494844141,NORMAL,8.0,2.0,718902,SKILL_LEVEL_UP
780322,7494844141,NORMAL,1.0,1.0,723745,SKILL_LEVEL_UP
780322,7494844141,NORMAL,7.0,2.0,724113,SKILL_LEVEL_UP
780322,7494844141,NORMAL,9.0,2.0,729764,SKILL_LEVEL_UP
780322,7494844141,NORMAL,10.0,1.0,735476,SKILL_LEVEL_UP
780322,7494844141,NORMAL,2.0,2.0,738082,SKILL_LEVEL_UP
780322,7494844141,NORMAL,5.0,3.0,743860,SKILL_LEVEL_UP
780322,7494844141,NORMAL,4.0,1.0,758234,SKILL_LEVEL_UP
