after_id,before_id,frame_timestamp,game_id,gold_gain,participant_id,timestamp,type
0.0,2022.0,1020367,7586019814,250.0,8.0,1003185,ITEM_UNDO
0.0,2022.0,1200414,7586019814,250.0,4.0,1192686,ITEM_UNDO
0.0,2022.0,1200414,7586019814,250.0,4.0,1196293,ITEM_UNDO
0.0,1036.0,1320458,7586019814,350.0,4.0,1286837,ITEM_UNDO
0.0,1001.0,180018,7586998539,300.0,5.0,173671,ITEM_UNDO
0.0,1036.0,540192,7586998539,350.0,5.0,484218,ITEM_UNDO
0.0,1001.0,720243,7586998539,300.0,8.0,697867,ITEM_UNDO
6676.0,0.0,780267,7586998539,-2100.0,8.0,752529,ITEM_UNDO
2031.0,0.0,780267,7586998539,-60.0,8.0,754366,ITEM_UNDO
0.0,1042.0,780267,7586998539,250.0,8.0,755201,ITEM_UNDO
0.0,2055.0,1380472,7586998539,75.0,6.0,1358838,ITEM_UNDO
0.0,1029.0,300179,7585763630,300.0,2.0,291083,ITEM_UNDO
0.0,1052.0,360182,7585763630,400.0,8.0,326334,ITEM_UNDO
3364.0,0.0,540251,7585763630,0.0,2.0,505932,ITEM_UNDO
0.0,3803.0,540251,7585763630,500.0,8.0,507902,ITEM_UNDO
0.0,3504.0,1020380,7585763630,1600.0,10.0,996231,ITEM_UNDO
2422.0,0.0,1020380,7585763630,-90.0,10.0,997400,ITEM_UNDO
3031.0,0.0,1500526,7585763630,-2415.0,9.0,1459772,ITEM_UNDO
1082.0,0.0,1500526,7585763630,-140.0,8.0,1481019,ITEM_UNDO
0.0,3171.0,1560542,7585763630,750.0,3.0,1537603,ITEM_UNDO
1056.0,0.0,1560542,7585763630,-160.0,3.0,1538572,ITEM_UNDO
0.0,1042.0,480180,7586784823,250.0,6.0,429615,ITEM_UNDO
0.0,1036.0,660251,7586784823,350.0,6.0,605261,ITEM_UNDO
0.0,3113.0,720262,7586784823,500.0,1.0,709521,ITEM_UNDO
0.0,1018.0,660274,7586438504,600.0,4.0,635615,ITEM_UNDO
0.0,1038.0,660274,7586438504,1300.0,4.0,635749,ITEM_UNDO
2010.0,0.0,660274,7586438504,-5.0,4.0,636316,ITEM_UNDO
0.0,1052.0,840336,7586438504,400.0,5.0,804844,ITEM_UNDO
0.0,3111.0,840336,7586438504,950.0,8.0,817391,ITEM_UNDO
0.0,2055.0,840336,7586438504,75.0,7.0,839434,ITEM_UNDO
0.0,3044.0,840336,7586438504,700.0,7.0,839568,ITEM_UNDO
0.0,3113.0,1560554,7586438504,500.0,8.0,1541376,ITEM_UNDO
0.0,3108.0,1740608,7586438504,850.0,8.0,1733131,ITEM_UNDO
0.0,1052.0,240187,7586084680,400.0,8.0,191511,ITEM_UNDO
0.0,2055.0,480209,7586084680,75.0,10.0,473453,ITEM_UNDO
0.0,3145.0,480209,7586084680,1100.0,10.0,473587,ITEM_UNDO
0.0,1037.0,780317,7586084680,875.0,3.0,747781,ITEM_UNDO
0.0,3108.0,900339,7586084680,450.0,2.0,861666,ITEM_UNDO
0.0,3111.0,1140450,7586084680,950.0,9.0,1092208,ITEM_UNDO
0.0,3004.0,1200465,7586084680,1450.0,9.0,1193929,ITEM_UNDO
0.0,6696.0,1200465,7586084680,1950.0,9.0,1199163,ITEM_UNDO
0.0,1052.0,1260473,7586084680,400.0,8.0,1216011,ITEM_UNDO
0.0,1029.0,1320476,7586084680,300.0,2.0,1279043,ITEM_UNDO
0.0,1028.0,1380477,7586084680,400.0,8.0,1343196,ITEM_UNDO
0.0,1042.0,240158,7586998287,250.0,4.0,208754,ITEM_UNDO
0.0,1001.0,240158,7586998287,300.0,4.0,208888,ITEM_UNDO
0.0,2055.0,720275,7586998287,75.0,10.0,714098,ITEM_UNDO
0.0,1082.0,840327,7586998287,350.0,7.0,789149,ITEM_UNDO
0.0,3916.0,840327,7586998287,800.0,7.0,789282,ITEM_UNDO
0.0,1018.0,900333,7586998287,600.0,4.0,897838,ITEM_UNDO
0.0,1052.0,1380460,7586998287,400.0,3.0,1355043,ITEM_UNDO
2031.0,0.0,1380460,7586998287,-60.0,3.0,1355143,ITEM_UNDO
0.0,1052.0,1380460,7586998287,400.0,3.0,1356179,ITEM_UNDO
3340.0,0.0,60001,7587405903,0.0,1.0,12407,ITEM_UNDO
0.0,2003.0,60001,7587405903,50.0,1.0,12541,ITEM_UNDO
0.0,1055.0,60001,7587405903,450.0,1.0,12908,ITEM_UNDO
0.0,1036.0,660184,7587405903,350.0,3.0,625251,ITEM_UNDO
0.0,1036.0,660184,7587405903,350.0,9.0,628792,ITEM_UNDO
0.0,3144.0,660184,7587405903,600.0,9.0,628959,ITEM_UNDO
0.0,1036.0,780196,7587405903,350.0,4.0,742927,ITEM_UNDO
0.0,1018.0,780196,7587405903,600.0,4.0,746835,ITEM_UNDO
0.0,3147.0,840203,7587405903,900.0,2.0,789987,ITEM_UNDO
0.0,3108.0,840203,7587405903,450.0,2.0,798736,ITEM_UNDO
0.0,2055.0,1080279,7587405903,75.0,7.0,1066884,ITEM_UNDO
0.0,1028.0,1080279,7587405903,400.0,7.0,1067318,ITEM_UNDO
0.0,2055.0,1200327,7587405903,75.0,2.0,1157855,ITEM_UNDO
0.0,3134.0,1620449,7587405903,650.0,6.0,1604723,ITEM_UNDO
0.0,2021.0,1620449,7587405903,800.0,6.0,1608865,ITEM_UNDO
0.0,1101.0,60025,7586056125,450.0,7.0,6514,ITEM_UNDO
0.0,1036.0,720308,7586056125,350.0,1.0,687330,ITEM_UNDO
2031.0,0.0,780313,7586056125,-60.0,9.0,727643,ITEM_UNDO
0.0,2019.0,1140449,7586056125,450.0,1.0,1138056,ITEM_UNDO
0.0,1052.0,1320482,7586056125,400.0,4.0,1311155,ITEM_UNDO
1042.0,0.0,1320482,7586056125,-175.0,4.0,1311257,ITEM_UNDO
1055.0,0.0,1500532,7586056125,-180.0,4.0,1485324,ITEM_UNDO
0.0,1103.0,60021,7587238721,450.0,7.0,22048,ITEM_UNDO
0.0,1036.0,180049,7587238721,350.0,4.0,126844,ITEM_UNDO
0.0,1036.0,480217,7587238721,350.0,7.0,459910,ITEM_UNDO
0.0,3044.0,540221,7587238721,350.0,4.0,484396,ITEM_UNDO
0.0,3051.0,540221,7587238721,850.0,4.0,486601,ITEM_UNDO
2031.0,0.0,540221,7587238721,-60.0,4.0,488638,ITEM_UNDO
0.0,3044.0,540221,7587238721,350.0,4.0,488738,ITEM_UNDO
0.0,1036.0,780304,7587238721,350.0,4.0,759378,ITEM_UNDO
2031.0,0.0,780304,7587238721,-60.0,4.0,762384,ITEM_UNDO
0.0,1028.0,480203,7587363782,400.0,4.0,465563,ITEM_UNDO
0.0,1001.0,540208,7587363782,300.0,3.0,487727,ITEM_UNDO
0.0,1042.0,540208,7587363782,250.0,7.0,530800,ITEM_UNDO
0.0,3111.0,1320376,7587363782,950.0,7.0,1307417,ITEM_UNDO
0.0,1055.0,60031,7587371721,450.0,6.0,7629,ITEM_UNDO
0.0,3802.0,360213,7587371721,800.0,2.0,316207,ITEM_UNDO
0.0,1004.0,480243,7587371721,200.0,5.0,426746,ITEM_UNDO
0.0,1043.0,600277,7587371721,450.0,4.0,542801,ITEM_UNDO
0.0,3067.0,600277,7587371721,800.0,5.0,543002,ITEM_UNDO
0.0,1036.0,780324,7587371721,350.0,7.0,727126,ITEM_UNDO
0.0,1036.0,1140433,7587371721,350.0,1.0,1125623,ITEM_UNDO
0.0,1036.0,1140433,7587371721,350.0,1.0,1125757,ITEM_UNDO
0.0,1037.0,1380519,7587371721,875.0,7.0,1362712,ITEM_UNDO
0.0,1037.0,1380519,7587371721,875.0,7.0,1365417,ITEM_UNDO
2055.0,0.0,1380519,7587371721,-30.0,2.0,1368089,ITEM_UNDO
1055.0,0.0,1500559,7587371721,-180.0,1.0,1451228,ITEM_UNDO
0.0,1052.0,300123,7586920182,400.0,5.0,297846,ITEM_UNDO
0.0,6660.0,540156,7586920182,500.0,1.0,536025,ITEM_UNDO
0.0,4645.0,720213,7586920182,900.0,3.0,679693,ITEM_UNDO
0.0,2055.0,1860501,7586920182,75.0,7.0,1802966,ITEM_UNDO
1055.0,0.0,1860501,7586920182,-180.0,4.0,1804888,ITEM_UNDO
0.0,6695.0,1860501,7586920182,2150.0,4.0,1805088,ITEM_UNDO
0.0,2508.0,840273,7587426287,900.0,3.0,784009,ITEM_UNDO
0.0,6670.0,1200364,7587426287,700.0,2.0,1157705,ITEM_UNDO
0.0,3009.0,900323,7586463010,700.0,1.0,843613,ITEM_UNDO
0.0,1037.0,900323,7586463010,875.0,1.0,843747,ITEM_UNDO
0.0,1036.0,60012,7586110280,350.0,2.0,2494,ITEM_UNDO
0.0,3114.0,420165,7586110280,600.0,10.0,379932,ITEM_UNDO
0.0,3158.0,720226,7586110280,600.0,2.0,720159,ITEM_UNDO
0.0,3145.0,1260381,7586110280,700.0,8.0,1253795,ITEM_UNDO
0.0,3067.0,1620461,7586110280,550.0,6.0,1596130,ITEM_UNDO
1056.0,0.0,1740467,7586110280,-160.0,3.0,1739728,ITEM_UNDO
0.0,1101.0,60002,7586652275,450.0,2.0,5325,ITEM_UNDO
0.0,2055.0,420201,7586652275,75.0,8.0,370754,ITEM_UNDO
0.0,6670.0,1020477,7586904196,700.0,8.0,986378,ITEM_UNDO
1083.0,0.0,1320559,7586904196,-180.0,9.0,1316184,ITEM_UNDO
0.0,2022.0,1560637,7586904196,250.0,7.0,1558800,ITEM_UNDO
0.0,1001.0,660253,7586087322,300.0,4.0,652812,ITEM_UNDO
0.0,1052.0,660253,7586087322,400.0,4.0,652913,ITEM_UNDO
0.0,1018.0,720269,7586087322,600.0,9.0,662691,ITEM_UNDO
0.0,1029.0,1200430,7586087322,300.0,10.0,1148547,ITEM_UNDO
0.0,1027.0,1440486,7586087322,300.0,10.0,1419298,ITEM_UNDO
0.0,1028.0,480196,7586959233,400.0,9.0,427743,ITEM_UNDO
0.0,1033.0,780295,7586959233,400.0,8.0,721309,ITEM_UNDO
0.0,1001.0,780295,7586959233,300.0,8.0,721442,ITEM_UNDO
0.0,1006.0,900347,7586959233,300.0,5.0,869494,ITEM_UNDO
0.0,2055.0,1080400,7586959233,75.0,5.0,1077311,ITEM_UNDO
0.0,1029.0,1080400,7586959233,300.0,5.0,1077679,ITEM_UNDO
0.0,1029.0,1080400,7586959233,300.0,5.0,1079365,ITEM_UNDO
0.0,2055.0,1260447,7586959233,75.0,7.0,1225994,ITEM_UNDO
0.0,1036.0,1260447,7586959233,350.0,7.0,1226161,ITEM_UNDO
0.0,3145.0,1440510,7586959233,300.0,3.0,1419783,ITEM_UNDO
0.0,1018.0,1500532,7586959233,600.0,6.0,1490973,ITEM_UNDO
0.0,2055.0,1560533,7586959233,75.0,1.0,1500999,ITEM_UNDO
0.0,2055.0,1560533,7586959233,75.0,1.0,1501167,ITEM_UNDO
0.0,2021.0,1800612,7586959233,750.0,2.0,1794297,ITEM_UNDO
0.0,1036.0,360152,7586644074,350.0,9.0,330150,ITEM_UNDO
0.0,1042.0,420155,7586644074,250.0,3.0,363893,ITEM_UNDO
0.0,1042.0,600228,7586644074,250.0,4.0,575854,ITEM_UNDO
0.0,1028.0,720274,7586644074,400.0,10.0,687040,ITEM_UNDO
0.0,2022.0,780282,7586644074,250.0,5.0,778005,ITEM_UNDO
0.0,1033.0,1080374,7586644074,400.0,5.0,1069379,ITEM_UNDO
0.0,1029.0,1380493,7586644074,300.0,5.0,1323028,ITEM_UNDO
0.0,2003.0,60029,7587483589,50.0,6.0,16173,ITEM_UNDO
0.0,1054.0,60029,7587483589,450.0,6.0,16306,ITEM_UNDO
0.0,2031.0,180061,7587483589,150.0,9.0,168671,ITEM_UNDO
0.0,3133.0,300093,7587483589,1050.0,7.0,275179,ITEM_UNDO
0.0,1037.0,360095,7587483589,875.0,1.0,314299,ITEM_UNDO
0.0,1033.0,420124,7587483589,400.0,8.0,408769,ITEM_UNDO
0.0,2022.0,960388,7587483589,250.0,7.0,955846,ITEM_UNDO
0.0,1026.0,1080426,7587483589,850.0,9.0,1072404,ITEM_UNDO
0.0,1036.0,1440526,7587483589,350.0,2.0,1422482,ITEM_UNDO
0.0,3814.0,1440526,7587483589,850.0,2.0,1423250,ITEM_UNDO
0.0,3050.0,1560571,7587483589,1100.0,10.0,1546745,ITEM_UNDO
0.0,3050.0,1560571,7587483589,1100.0,10.0,1550399,ITEM_UNDO
0.0,1102.0,60020,7586937222,450.0,7.0,3275,ITEM_UNDO
0.0,1052.0,300186,7586937222,400.0,5.0,270608,ITEM_UNDO
0.0,3020.0,1020400,7586937222,800.0,8.0,1000467,ITEM_UNDO
0.0,1026.0,1380486,7586937222,850.0,9.0,1343690,ITEM_UNDO
0.0,3070.0,60009,7587211379,400.0,8.0,7070,ITEM_UNDO
0.0,1052.0,240155,7587211379,400.0,9.0,205669,ITEM_UNDO
0.0,2022.0,240155,7587211379,250.0,9.0,208408,ITEM_UNDO
0.0,1027.0,240155,7587211379,300.0,9.0,208708,ITEM_UNDO
