bounty,frame_timestamp,game_id,kill_streak_length,killer_id,position_x,position_y,shutdown_bounty,timestamp,type,victim_id
280.0,1320414,7586549521,0.0,2.0,9975.0,8046.0,0.0,1282025,CHAMPION_KILL,9.0
300.0,1320414,7586549521,1.0,2.0,10558.0,8747.0,388.0,1285450,CHAMPION_KILL,7.0
300.0,1320414,7586549521,1.0,3.0,9104.0,9678.0,0.0,1305575,CHAMPION_KILL,6.0
190.0,1320414,7586549521,1.0,1.0,6950.0,10919.0,0.0,1308948,CHAMPION_KILL,8.0
133.0,1380423,7586549521,0.0,9.0,11794.0,3884.0,0.0,1365656,CHAMPION_KILL,5.0
300.0,1380423,7586549521,1.0,9.0,10838.0,2129.0,17.0,1372365,CHAMPION_KILL,4.0
300.0,1380423,7586549521,0.0,7.0,9954.0,1465.0,0.0,1378822,CHAMPION_KILL,2.0
300.0,1440453,7586549521,2.0,9.0,9865.0,1489.0,613.0,1381571,CHAMPION_KILL,1.0
300.0,1440453,7586549521,0.0,10.0,6304.0,5728.0,0.0,1393642,CHAMPION_KILL,3.0
100.0,1440453,7586549521,1.0,10.0,3444.0,6913.0,0.0,1423584,CHAMPION_KILL,5.0
300.0,1500486,7586549521,1.0,7.0,1190.0,8663.0,0.0,1488952,CHAMPION_KILL,1.0
300.0,1500486,7586549521,0.0,2.0,4028.0,8644.0,4.0,1499238,CHAMPION_KILL,10.0
300.0,1560499,7586549521,2.0,7.0,4202.0,8613.0,0.0,1503237,CHAMPION_KILL,2.0
300.0,1560499,7586549521,3.0,9.0,4394.0,8480.0,0.0,1508584,CHAMPION_KILL,4.0
130.0,1560499,7586549521,4.0,9.0,4773.0,7849.0,0.0,1514049,CHAMPION_KILL,5.0
282.0,1560499,7586549521,0.0,6.0,5074.0,7524.0,0.0,1515492,CHAMPION_KILL,3.0
300.0,1620527,7586549521,0.0,0.0,7895.0,4768.0,201.0,1561501,CHAMPION_KILL,9.0
100.0,1620527,7586549521,0.0,10.0,7958.0,8723.0,0.0,1619376,CHAMPION_KILL,5.0
300.0,1680529,7586549521,0.0,4.0,7956.0,8722.0,299.0,1623339,CHAMPION_KILL,7.0
300.0,1680529,7586549521,0.0,2.0,7747.0,8624.0,201.0,1629445,CHAMPION_KILL,9.0
300.0,1680529,7586549521,0.0,8.0,6416.0,10028.0,0.0,1631533,CHAMPION_KILL,4.0
300.0,1680529,7586549521,1.0,2.0,5530.0,9237.0,0.0,1638046,CHAMPION_KILL,10.0
300.0,1680529,7586549521,0.0,1.0,11531.0,8120.0,0.0,1640217,CHAMPION_KILL,6.0
292.0,1680529,7586549521,2.0,2.0,5891.0,11071.0,0.0,1646124,CHAMPION_KILL,8.0
140.0,1740534,7586549521,0.0,6.0,9378.0,2384.0,0.0,1734256,CHAMPION_KILL,5.0
290.0,1740534,7586549521,3.0,2.0,10266.0,2408.0,0.0,1736360,CHAMPION_KILL,6.0
300.0,1800555,7586549521,4.0,2.0,10510.0,2280.0,0.0,1740970,CHAMPION_KILL,7.0
255.0,1800555,7586549521,1.0,1.0,14048.0,6997.0,0.0,1758279,CHAMPION_KILL,10.0
213.0,1800555,7586549521,0.0,4.0,8562.0,3869.0,0.0,1760239,CHAMPION_KILL,8.0
300.0,1800555,7586549521,0.0,9.0,13572.0,6422.0,160.0,1760272,CHAMPION_KILL,2.0
300.0,1800555,7586549521,2.0,1.0,13062.0,6859.0,0.0,1764280,CHAMPION_KILL,9.0
216.0,1860572,7586549521,3.0,1.0,10228.0,10057.0,0.0,1808310,CHAMPION_KILL,6.0
170.0,1860572,7586549521,1.0,4.0,7695.0,6835.0,0.0,1842071,CHAMPION_KILL,8.0
268.0,1860572,7586549521,2.0,4.0,6944.0,7224.0,0.0,1844760,CHAMPION_KILL,7.0
239.0,1920587,7586549521,0.0,3.0,11373.0,7957.0,0.0,1897796,CHAMPION_KILL,10.0
119.0,1956361,7586549521,3.0,4.0,8126.0,9966.0,0.0,1922457,CHAMPION_KILL,8.0
172.0,1956361,7586549521,0.0,2.0,9065.0,9550.0,0.0,1927366,CHAMPION_KILL,6.0
300.0,1956361,7586549521,4.0,4.0,9463.0,9829.0,0.0,1928502,CHAMPION_KILL,9.0
190.0,1956361,7586549521,4.0,1.0,9316.0,9702.0,0.0,1929944,CHAMPION_KILL,7.0
300.0,120060,7587603876,0.0,7.0,5070.0,5325.0,0.0,86330,CHAMPION_KILL,5.0
300.0,180167,7587603876,0.0,3.0,8494.0,5033.0,0.0,122130,CHAMPION_KILL,8.0
300.0,180167,7587603876,0.0,4.0,7674.0,4895.0,0.0,124167,CHAMPION_KILL,10.0
300.0,180167,7587603876,1.0,4.0,7974.0,4940.0,0.0,127240,CHAMPION_KILL,9.0
225.0,180167,7587603876,2.0,4.0,14017.0,4518.0,0.0,178350,CHAMPION_KILL,10.0
300.0,240199,7587603876,1.0,7.0,13527.0,2917.0,158.0,198676,CHAMPION_KILL,4.0
295.0,360242,7587603876,0.0,4.0,12216.0,1839.0,0.0,343678,CHAMPION_KILL,9.0
300.0,540257,7587603876,2.0,7.0,7913.0,7787.0,72.0,522303,CHAMPION_KILL,3.0
190.0,600277,7587603876,0.0,2.0,13891.0,4087.0,0.0,542962,CHAMPION_KILL,10.0
300.0,600277,7587603876,0.0,1.0,7459.0,5951.0,0.0,548472,CHAMPION_KILL,8.0
269.0,600277,7587603876,1.0,4.0,13526.0,7129.0,0.0,570413,CHAMPION_KILL,9.0
300.0,600277,7587603876,0.0,6.0,1146.0,11161.0,66.0,595969,CHAMPION_KILL,1.0
300.0,660282,7587603876,0.0,5.0,4574.0,12620.0,109.0,656167,CHAMPION_KILL,7.0
135.0,720287,7587603876,2.0,4.0,9077.0,8183.0,0.0,679688,CHAMPION_KILL,10.0
216.0,720287,7587603876,0.0,1.0,8693.0,9234.0,0.0,687873,CHAMPION_KILL,9.0
300.0,780311,7587603876,1.0,6.0,6142.0,7087.0,50.0,764013,CHAMPION_KILL,5.0
300.0,780311,7587603876,2.0,6.0,6107.0,6583.0,230.0,767560,CHAMPION_KILL,4.0
142.0,780311,7587603876,1.0,1.0,7794.0,8092.0,0.0,777861,CHAMPION_KILL,10.0
