feat_type,feat_value,frame_timestamp,game_id,team_id,timestamp,type
2.0,1.0,480210,7586019814,100.0,429057,FEAT_UPDATE
2.0,2.0,600232,7586019814,100.0,560996,FEAT_UPDATE
2.0,3.0,720289,7586019814,100.0,701540,FEAT_UPDATE
2.0,1001.0,720289,7586019814,200.0,701540,FEAT_UPDATE
0.0,1.0,180018,7586998539,100.0,126598,FEAT_UPDATE
0.0,2.0,180018,7586998539,100.0,147859,FEAT_UPDATE
0.0,1.0,180018,7586998539,200.0,155090,FEAT_UPDATE
0.0,2.0,240044,7586998539,200.0,223844,FEAT_UPDATE
0.0,3.0,240044,7586998539,100.0,223910,FEAT_UPDATE
0.0,1001.0,240044,7586998539,200.0,223910,FEAT_UPDATE
2.0,1.0,420162,7586998539,100.0,385045,FEAT_UPDATE
2.0,1.0,780267,7586998539,200.0,745314,FEAT_UPDATE
1.0,1.0,780267,7586998539,200.0,774654,FEAT_UPDATE
1.0,1001.0,780267,7586998539,100.0,774654,FEAT_UPDATE
2.0,2.0,900304,7586998539,200.0,841085,FEAT_UPDATE
2.0,2.0,1080369,7586998539,100.0,1055294,FEAT_UPDATE
2.0,3.0,1200412,7586998539,200.0,1163076,FEAT_UPDATE
2.0,1001.0,1200412,7586998539,100.0,1163076,FEAT_UPDATE
0.0,1.0,60030,7585763630,100.0,46903,FEAT_UPDATE
0.0,1.0,300179,7585763630,200.0,287075,FEAT_UPDATE
0.0,2.0,420207,7585763630,200.0,381024,FEAT_UPDATE
0.0,2.0,420207,7585763630,100.0,386193,FEAT_UPDATE
0.0,3.0,420207,7585763630,200.0,389371,FEAT_UPDATE
0.0,1001.0,420207,7585763630,100.0,389371,FEAT_UPDATE
2.0,1.0,540251,7585763630,100.0,537373,FEAT_UPDATE
2.0,2.0,720277,7585763630,100.0,679575,FEAT_UPDATE
1.0,1.0,840308,7585763630,100.0,832083,FEAT_UPDATE
1.0,1001.0,840308,7585763630,200.0,832083,FEAT_UPDATE
2.0,3.0,960358,7585763630,100.0,927611,FEAT_UPDATE
2.0,1001.0,960358,7585763630,200.0,927611,FEAT_UPDATE
0.0,1.0,180028,7586784823,100.0,172370,FEAT_UPDATE
0.0,2.0,180028,7586784823,100.0,173005,FEAT_UPDATE
0.0,1.0,360075,7586784823,200.0,346312,FEAT_UPDATE
0.0,3.0,360075,7586784823,100.0,348049,FEAT_UPDATE
0.0,1001.0,360075,7586784823,200.0,348049,FEAT_UPDATE
2.0,1.0,720262,7586784823,200.0,680097,FEAT_UPDATE
1.0,1.0,900330,7586784823,200.0,841369,FEAT_UPDATE
1.0,1001.0,900330,7586784823,100.0,841369,FEAT_UPDATE
2.0,2.0,1020342,7586784823,200.0,1003750,FEAT_UPDATE
0.0,1.0,180175,7586438504,200.0,121132,FEAT_UPDATE
0.0,1.0,180175,7586438504,100.0,140706,FEAT_UPDATE
0.0,2.0,300212,7586438504,100.0,240782,FEAT_UPDATE
0.0,2.0,300212,7586438504,200.0,244097,FEAT_UPDATE
0.0,3.0,300212,7586438504,100.0,272131,FEAT_UPDATE
0.0,1001.0,300212,7586438504,200.0,272131,FEAT_UPDATE
2.0,1.0,420224,7586438504,100.0,390415,FEAT_UPDATE
2.0,2.0,780316,7586438504,100.0,746147,FEAT_UPDATE
2.0,1.0,780316,7586438504,200.0,746681,FEAT_UPDATE
1.0,1.0,900355,7586438504,100.0,867333,FEAT_UPDATE
1.0,1001.0,900355,7586438504,200.0,867333,FEAT_UPDATE
0.0,1.0,180176,7586084680,200.0,179752,FEAT_UPDATE
0.0,2.0,240187,7586084680,200.0,225310,FEAT_UPDATE
0.0,3.0,240187,7586084680,200.0,226379,FEAT_UPDATE
0.0,1001.0,240187,7586084680,100.0,226379,FEAT_UPDATE
2.0,1.0,480209,7586084680,100.0,464365,FEAT_UPDATE
2.0,1.0,600292,7586084680,200.0,586676,FEAT_UPDATE
1.0,1.0,840322,7586084680,200.0,833081,FEAT_UPDATE
1.0,1001.0,840322,7586084680,100.0,833081,FEAT_UPDATE
0.0,1.0,360185,7586998287,100.0,326804,FEAT_UPDATE
2.0,1.0,420191,7586998287,200.0,418793,FEAT_UPDATE
0.0,1.0,480213,7586998287,200.0,427539,FEAT_UPDATE
0.0,2.0,480213,7586998287,100.0,431314,FEAT_UPDATE
0.0,2.0,480213,7586998287,200.0,437279,FEAT_UPDATE
0.0,3.0,540233,7586998287,100.0,524530,FEAT_UPDATE
0.0,1001.0,540233,7586998287,200.0,524530,FEAT_UPDATE
2.0,2.0,600253,7586998287,200.0,588327,FEAT_UPDATE
2.0,3.0,720275,7586998287,200.0,694819,FEAT_UPDATE
2.0,1001.0,720275,7586998287,100.0,694819,FEAT_UPDATE
1.0,1.0,900333,7586998287,100.0,888545,FEAT_UPDATE
1.0,1001.0,900333,7586998287,200.0,888545,FEAT_UPDATE
0.0,1.0,300015,7587405903,200.0,259647,FEAT_UPDATE
0.0,2.0,300015,7587405903,200.0,263237,FEAT_UPDATE
0.0,3.0,300015,7587405903,200.0,267011,FEAT_UPDATE
0.0,1001.0,300015,7587405903,100.0,267011,FEAT_UPDATE
2.0,1.0,480048,7587405903,100.0,469189,FEAT_UPDATE
2.0,2.0,720194,7587405903,100.0,699761,FEAT_UPDATE
1.0,1.0,900221,7587405903,100.0,856402,FEAT_UPDATE
1.0,1001.0,900221,7587405903,200.0,856402,FEAT_UPDATE
2.0,3.0,900221,7587405903,100.0,881199,FEAT_UPDATE
2.0,1001.0,900221,7587405903,200.0,881199,FEAT_UPDATE
0.0,1.0,360089,7586056125,100.0,352764,FEAT_UPDATE
0.0,1.0,360089,7586056125,200.0,353532,FEAT_UPDATE
2.0,1.0,420112,7586056125,100.0,409379,FEAT_UPDATE
0.0,2.0,480130,7586056125,100.0,420843,FEAT_UPDATE
0.0,3.0,540241,7586056125,100.0,484439,FEAT_UPDATE
0.0,1001.0,540241,7586056125,200.0,484439,FEAT_UPDATE
2.0,2.0,600272,7586056125,100.0,541076,FEAT_UPDATE
1.0,1.0,900351,7586056125,200.0,853157,FEAT_UPDATE
1.0,1001.0,900351,7586056125,100.0,853157,FEAT_UPDATE
2.0,1.0,960380,7586056125,200.0,901954,FEAT_UPDATE
2.0,2.0,1080420,7586056125,200.0,1024082,FEAT_UPDATE
2.0,3.0,1260480,7586056125,200.0,1221487,FEAT_UPDATE
2.0,1001.0,1260480,7586056125,100.0,1221487,FEAT_UPDATE
0.0,1.0,120031,7587238721,100.0,100492,FEAT_UPDATE
0.0,2.0,120031,7587238721,100.0,113852,FEAT_UPDATE
0.0,1.0,120031,7587238721,200.0,117793,FEAT_UPDATE
0.0,3.0,180049,7587238721,100.0,121534,FEAT_UPDATE
0.0,1001.0,180049,7587238721,200.0,121534,FEAT_UPDATE
2.0,1.0,420194,7587238721,100.0,400176,FEAT_UPDATE
2.0,2.0,720293,7587238721,100.0,710975,FEAT_UPDATE
2.0,1.0,780304,7587238721,200.0,727006,FEAT_UPDATE
1.0,1.0,932666,7587238721,100.0,923032,FEAT_UPDATE
1.0,1001.0,932666,7587238721,200.0,923032,FEAT_UPDATE
0.0,1.0,240050,7587363782,100.0,189658,FEAT_UPDATE
